Title,#,Writer,Translator,Genre,F,Status,Day Started,Day Finished,Country,Age Group,Length,Format,Binding,Pages,Released,Publisher,Language,Orginal Language,ISBN,Date,Location,Paid,Price,Acquired,Kept,Sold,Notes
El Hombre Que Come Pianos: Ángel Idígoras conversa con Kayto,11,"Idígoras, Ángel",,Biography,Non-Fiction,Not Read,,,Spain,Adult,Novel,Physical,Paperback,171,,Maldragón Editorial,Spanish,Spanish,978-84-123149-4-6,03-06-2022,fnac,Dad,15,New,Owned,,Signed by author
Por Si Las Voces Vuelven,12,"Martín, Ángel",,Biography,Non-Fiction,Finished,02-02-2025,12-29-2025,Spain,Adult,Novel,Physical,Paperback,250,,Editorial Planeta,Spanish,Spanish,978-84-08-24921-4,04-02-2022,Librería Dorian,Myself,17.9,New,Owned,,Signed by author
Detrás del Ruido,12,"Martín, Ángel",,Biography,Non-Fiction,Not Read,,,Spain,Adult,Novel,Physical,Paperback,...,,Editorial Planeta,Spanish,Spanish,,,Wallapop,Wallet,8.4,,Owned,,
Doom Guy: Mi Vida en Primera Persona,13,"Romero, John","Fernández Álvarez, Concha",Biography,Non-Fiction,Not Read,,,United States,Adult,Novel,Physical,Paperback,354,,Héroes de Papel,Spanish,English,978-84-2019084-92-7,09-25-2025,SDCCM,Dad,30,New,Owned,,Signed by author (Presale)
"Quiérete Mucho, Maricón: Manual de éxito psicoemocional para hombres homosexuales",14,"Martín, Gabriel J.",,Self-Improvement,Non-Fiction,Reading,04-24-2025,,Spain,Adult,Essay,Digital,ebook,482,,Roca Editorial,Spanish,Spanish,978-84-16498-65-9,03-09-2025,PDFDrive,Myself,0,DL,Downloaded,,
Las Mujeres Que Aman Demasiado,15,"Norwood, Robin","Escoms, Nora",Self-Improvement,Non-Fiction,Not Read,,,United States,Adult,Essay,Physical,Paperback,332,,B de Bolsillo,Spanish,English,978-84-9070-776-0,02-11-2025,.found,Myself,0,Used,Owned,,Found on the street with notes
The Creative Act: A Way of Being,16,"Rubin, Rick","Simó Perales, Victoria",Self-Improvement,Non-Fiction,Not Read,,,United States,Adult,Essay,Physical,Paperback,461,,Editorial Planeta,Spanish,English,978-84-1119-275-0,09-27-2025,fnac,Mom,20.85,New,Owned,,
El Niño con el Pijama de Rayas,17,"Boyne, John","Rovira Ortega, Gemma",Historical Fiction,Fiction,Finished,10-08-2019,08-30-2019,United Kingdom,Middle,Novel,Physical,Paperback,217,,Salamandra,Spanish,English,978-84-9838-079-8,07-24-2022,Mercadillo,Gift,0,Used,Owned,,
Fahrenheit 451,18,"Bradbury, Ray","Souto, Marcial",Dystopia,Fiction,Not Read,,,United States,Adult,Novel,Physical,Paperback,187,,deBolsillo,Spanish,English,978-84-663-5671-8,10-30-2021,fnac,Myself,9.95,New,Owned,,
Un Mundo Feliz ,19,"Huxley, Aldous ","Hernández, Ramón",Dystopia,Fiction,Finished,01-20-2020,02-26-2020,United Kingdom,Adult,Novel,Physical,Paperback,255,,deBolsillo,Spanish,English,978-84-9759-425-7,11-05-2019,Wallapop,Wallet,0,Used,Owned,,
1984,20,"Orwell, George ","Temprano García, Miguel",Dystopia,Fiction,Not Read,,,United Kingdom,Adult,Novel,Physical,Paperback,350,,deBolsillo,Spanish,English,978-84-9989-094-4,08-24-2020,Amazon,Gift,8.5,New,Owned,,Epilogue: Thomas Pynchon
Rebelión en la Granja,21,"Orwell, George ","Souto, Marcial",Satire,Fiction,Not Read,,,United Kingdom,Adult,Novel,Physical,Paperback,140,,deBolsillo,Spanish,English,978-84-9989-095-1,08-18-2021,fnac,Myself,9.95,New,Owned,,"Epilogue: Christopher Hitchens, Preface: George Orwell"
El Club de la Lucha,22,"Palahniuk, Chuck","González del Campo, José",Satire,Fiction,Not Read,,,United States,Adult,Novel,Physical,Paperback,224,,deBolsillo,Spanish,English,978-84-9908-817-4,02-04-2023,Librería Dorian,Myself,4.95,New,Owned,,Bought with library points
Los viajes de Gulliver (72),23,"Swift, Jonathan","Gárate Ayastuy, Begoña",Satire,Fiction,Not Read,,,United Kingdom,All,Novel,Physical,Hardcover,278,,Las 100 joyas del Milenio,Spanish,English,978-84-8130-20191-4,12-20-2025,.found,Myself,0,Used,Owned,,Prologue: Jorge Edwards
Paradise Lost,24,"Milton, John",,Epic,Fiction,Not Read,,,United Kingdom,Adult,Poetry,Digital,ebook,...,,Simon & Schuster,English,English,B009G3T4Y0,12-22-2021,Amazon,Myself,0,New,Owned,,
The Revolt of the Angels,25,"France, Anatole","Jackson, Emilie",Epic,Fiction,Not Read,,,France,Adult,Novel,Digital,ebook,...,,FB&C Limited,English,French,978-1-330134900,04-05-2025,.found,Myself,0,DL,Downloaded,,
Robinson Crusoe (35),26,"Defoe, Daniel","Santos, Domingo",Adventure,Fiction,Not Read,,,United Kingdom,All,Novel,Physical,Hardcover,317,,Las 100 joyas del Milenio,Spanish,English,978-84-8130-140-X,12-20-2025,found,Myself,1,Used,Owned,,Prologue: José Manuel Fajardo
Alicia en el País de las Maravillas,27,"Carroll, Lewis","Paixão, Marta",Fantasy,Fiction,Not Read,,,United Kingdom,All,Novel,Physical,Hardcover w/ jacket,150,01-06-2022,Livraria Lello,Spanish,English,978-989-9095-79-3,07-12-2025,Livraria Lello,Myself,15.95,New,Owned,,
El Libro de los Portales,28,"Gallego, Laura",,Fantasy,Fiction,Not Read,,,Spain,YA,Novel,Physical,Paperback,491,2013,Minotauro,Spanish,Spanish,978-84-450-0130-1,04-11-2022,Wallapop,Wallet,4.5,Used,Owned,,
The Black Veins,29,"Monet, Ashia",,Fantasy,Fiction,Re-start,...,,United States,YA,Novel,Digital,ebook,430,,Amazon,English,English,B07TF59SXT,01-12-2021,Amazon,Myself,4.67,New,Owned,,
Mort,30,"Pratchett, Terry ","Filipetto, Celia",Fantasy,Fiction,Not Read,,,United Kingdom,Adult,Novel,Physical,Paperback,284,,deBolsillo,Spanish,English,978-84-8346-328-4,09-10-2021,Librería Dorian,Gift,8,New,Owned,,
Good Omens (Buenos Presagios),31,"Pratchett, Terry / Gaiman, Neil","Ferrer, María",Fantasy,Fiction,Not Read,,,United Kingdom,Adult,Novel,Physical,Paperback,394,,Booklet,Spanish,English,978-84-450-0669-6,02-05-2022,Librería Dorian,Myself,8.95,New,Owned,,
Alas de Sangre,32,"Yarros, Rebecca","Romero Saldaña, Graciela",Romantasy,Fiction,Finished,02-08-2025,08-25-2025,United States,New Adult,Novel,Physical,Hardcover w/ jacket,730,,Editorial Planeta,Spanish,English,978-84-08-27999-0,08-26-2025,El Corte Inglés,Gift,22.9,New,Owned,,"Borrowed on 1/8/2025, then gifted on 26th."
Alas de Hierro,33,"Yarros, Rebecca","Ruiz Aldana, Víctor",Romantasy,Fiction,Not Read,,,United States,New Adult,Novel,Physical,Hardcover w/ jacket,888,11-15-2023,Editorial Planeta,Spanish,English,978-84-08-28455-0,08-26-2025,El Corte Inglés,Gift,22.9,New,Owned,,
Alas de Onix,34,"Yarros, Rebecca","Díez Pérez, María José / Ruiz Aldana, Víctor",Romantasy,Fiction,Not Read,,,United States,New Adult,Novel,Physical,Hardcover w/ jacket,890,,Editorial Planeta,Spanish,English,978-84-08-29707-9,08-26-2025,El Corte Inglés,Gift,22.9,New,Owned,,
La Casa de los Espíritus,35,"Allende, Isabel",,Magic Realism,Fiction,Not Read,,,Chile,Adult,Novel,Physical,Hardcover,447,,RBA Editores,Spanish,Spanish,978-84-473-0125-7,06-06-2017,Mercadillo,Myself,0,Used,Owned,,
Cien Años de Soledad,36,"García Márquez, Gabriel",,Magic Realism,Fiction,Not Read,,,Argentina,Adult,Novel,Physical,Hardcover,310,,Círculo de Lectores,Spanish,Spanish,978-84-226-2025-1,06-06-2017,Mercadillo,Myself,0,Used,Owned,,
The Satanic Verses,37,"Rushdie, Salman",,Magic Realism,Fiction,Not Read,,,United Kingdom,Adult,Novel,Digital,ebook,...,,Penguin Publishing Group,English,English,978-0-670825370,04-05-2025,PDFDrive,Myself,0,DL,Downloaded,,
El Árbol de la Ciencia,38,"Baroja, Pío",,Philosophical Fiction,Fiction,Re-start,...,,Spain,Adult,Novel,Digital,ebook,252,2012,Caro Ragio,Spanish,Spanish,978-84-70351006,06-06-2021,.found,Myself,0,DL,Downloaded,,
El Árbol de la Ciencia,39,"Baroja, Pío",,Philosophical Fiction,Fiction,Re-start,...,,Spain,Adult,Novel,Physical,Hardcover w/ jacket,252,,Biblioteca El Mundo,Spanish,Spanish,978-84-8130-419-0,06-06-2021,Mercadillo,Myself,0,Used,Owned,,
El Principito,40,"Saint-Exupery, Antoine","de Carril, Bonifacio",Philosophical Fiction,Fiction,Finished,06-14-2021,10-07-2021,France,Kids,Novella,Physical,Paperback,115,,Alianza,Spanish,French,978-84-206-1348-7,06-06-2021,.given away,Mom,0,Used,Owned,,
El Principito (Lello),41,"Saint-Exupery, Antoine","Flores, Rafael",Philosophical Fiction,Fiction,Not Read,,,France,All,Novella,Physical,Hardcover w/ jacket,128,01-10-2017,Livraria Lello,Spanish,French,978-989-9135-76-5,07-07-2025,Livraria Lello,Mom,15.95,New,Borrowed,,Preface: Valter Hugo Mãe
El Retrato de Dorian Gray,42,"Wilde, Oscar","Torreblanca, Beatriz",Philosophical Fiction,Fiction,Not Read,,,United Kingdom,Adult,Novel,Physical,Paperback,325,,Valdemar,Spanish,English,978-84-7702-850-5,11-06-2021,Librería Dorian,Myself,9,New,Owned,,
El amor en tiempos de cólera,43,"García Márquez, Gabriel",,Romance,Fiction,Not Read,,,Colombia,Adult,Novel,Physical,Hardcover w/ jacket,430,,Círculo de Lectores,Spanish,Spanish,978-84-672-0436-2,12-23-2025,.found,Myself,0,Used,Off-site,,
Giovanni's Room,44,"Baldwin, James",,Drama,Fiction,Not Read,,,United States,Adult,Novel,Digital,ebook,...,04-10-01,Penguin Books,English,English,978-0-141186351,04-06-2025,Anna's Archive,Myself,0,DL,Downloaded,,
La Celestina (Literatura hispánica de Fácil Lectura),45,"de Rojas, Fernando","Revilla, Guijarro, Almudena",Drama,Fiction,Not Read,,,Spain,Adult,Play,Physical,Paperback,121,2008,Sociedad General Española de Librería,Spanish,Spanish,978-84-9778-329-3,06-06-2017,.given away,Myself,0,Used,Owned,,
Don Juan Tenorio,46,"Zorilla, José",,Drama,Fiction,Finished,09-01-2025,01-02-2025,Spain,Adult,Play,Physical,Paperback,205,,El País,Spanish,Spanish,978-84-96390-97-7,06-06-2024,Mercadillo,Dad,2,Used,Owned,,
Crónica de una muerte anunciada,47,"García Márquez, Gabriel",,Mystery,Fiction,Not Read,,,Colombia,Adult,Novella,Physical,Paperback,192,,Editorial Bruguera,Spanish,Spanish,978-84-02-07693-9,12-23-2025,.found,Myself,0,Used,Off-site,,
Asesinato en el Orient Express,48,"Christie, Agatha","Machado-Quevedo, E.",Murder Mystery,Fiction,Not Read,,,United Kingdom,Adult,Novel,Physical,Paperback,285,,RBA Editores,Spanish,English,978-84-473-6302-5,12-23-2025,.found,Myself,0,Used,Off-site,,
Frankenstein,49,"Shelley, Mary","Torres Oliver, Francisco",Gothic,Fiction,Finished,10-12-2018,06-03-2019,United Kingdom,Adult,Novel,Physical,Paperback,313,,Alianza,Spanish,English,978-84-206-5365-5,06-06-2017,fnac,Mom,8.95,New,Owned,,
I Have No Mouth and I Must Scream,50,"Ellison, Harlan",,Horror,Fiction,Finished,07-01-2024,10-01-2024,United States,Adult,Novella,Digital,ebook,13,,,English,English,none,01-03-2024,.found,Myself,0,DL,Downloaded,,
De profundis y otros escritos,51,"Wilde, Oscar","Temprano García, Miguel",Epistolary,Non-Fiction,Not Read,,,United Kingdom,Adult,Novel,Physical,Paperback,325,,deBolsillo,Spanish,English,978-84-9032-482-0,03-30-2022,Mercadillo,Myself,1,Used,Owned,,
100 Animals That Can Fucking End You,52,"Ndiaye, Mamadou",,Comedy,Non-Fiction,Finished,08-30-2024,05-09-2024,United States,Adult,Novel,Digital,ebook,223,,Wildfire,English,English,B09QCF13NR,02-24-2023,Amazon,Myself,2.99,New,Owned,,
El Arte de la Guerra,53,"Tzu, Sun","Castillo, Celia",Military,Fiction,Not Read,,,China,Adult,Novel,Physical,Hardcover w/ jacket,148,01-04-2019,Livraria Lello,Spanish,Chinese,978-989-8939-23-4,07-12-2025,Livraria Lello,Myself,15.95,New,Owned,,
House of Leaves: The Remastered Full-Color Edition,54,"Danielewski, Mark Z.",,Experimental,Fiction,Not Read,,,United States,Adult,Novel,Physical,Paperback,707,,Pantheon Books,English,English,978-0-375-70376-4,05-19-2025,Vinted,Wallet,15.05,Used,Owned,,
Only Revolutions: A Novel,55,"Danielewski, Mark Z.",,Experimental,Fiction,Not Read,,,United States,Adult,Novel,Physical,Paperback,360,,Pantheon Books,English,English,978-0-375-71390-3,05-15-2025,Wallapop,Wallet,19.3,Used,Owned,,
La Espada de los Cincuenta Años,56,"Danielewski, Mark Z.","Calvo, Javier",Experimental,Fiction,Not Read,,,United States,Adult,Novel,Physical,Paperback,285,,Pálido Fuego,Spanish,English,978-84-92837-77-9,01-08-2026,Vinted,Wallet,11.52,Used,Owned,,
Obra Poética,57,"Montes, Santiago",,Poems,Fiction,Not Read,,,Spain,All,Poetry,Physical,Paperback,303,,...,Spanish,Spanish,978-84-604-5087-2,12-20-2025,.found,Myself,0,Used,Owned,,
Poética y Poesía 05. Madrid MMV. Carlos Marzal. ,58,"Marzal, Carlos",,Poems,Fiction,Not Read,,,Spain,All,Poetry,Physical,Paperback,85,,Fundación Juan March,Spanish,Spanish,M-936-2005,12-20-2025,.found,Myself,0,Used,Owned,,
Poética y Poesía 12. Madrid. MMVI. Felipe Benítez Reyes,59,"Benítez Reyes, Felipe",,Poems,Fiction,Not Read,,,Spain,All,Poetry,Physical,Paperback,92,,Fundación Juan March,Spanish,Spanish,M-21776-2006,12-20-2025,.found,Myself,0,Used,Owned,,
Poética y Poesía 18. Madrid MMVII. Jesús Munárriz.,60,"Munárriz, Jesús",,Poems,Fiction,Not Read,,,Spain,All,Poetry,Physical,Paperback,132,,Fundación Juan March,Spanish,Spanish,M-53143-2007,12-20-2025,.found,Myself,0,Used,Owned,,
Poética y Poesía 19. Madrid MMVIII. Juan Antonio González-Iglesias.,61,"González-Iglesias, Juan Antonio",,Poems,Fiction,Not Read,,,Spain,All,Poetry,Physical,Paperback,124,,Fundación Juan March,Spanish,Spanish,M-6515-2008,12-20-2025,.found,Myself,0,Used,Owned,,
Poética y Poesía 25. Madrid MMIX. Olvido García Valdés,62,"García Valdés, Olvido",,Poems,Fiction,Not Read,,,Spain,All,Poetry,Physical,Paperback,85,,Fundación Juan March,Spanish,Spanish,M-38144-2009,12-20-2025,.found,Myself,0,Used,Owned,,
Poética y Poesía 32. Madrid MMXIV. Clara Janés,63,"Janés, Clara",,Poems,Fiction,Not Read,,,Spain,All,Poetry,Physical,Paperback,135,,Fundación Juan March,Spanish,Spanish,M-10055-2014,12-20-2025,.found,Myself,0,Used,Owned,,
